,cleantweet,tweetid,len,meaning,lemmatized,pos
0,climate change interesting hustle global warming planet stopped warming 15 yes suv boom,7.92927E+17,87,Negative,climate change interesting hustle global warming planet stopped warming 15 yes suv boom,"[('climate', 'NN'), ('change', 'NN'), ('interesting', 'VBG'), ('hustle', 'JJ'), ('global', 'JJ'), ('warming', 'NN'), ('planet', 'NN'), ('stopped', 'VBD'), ('warming', 'VBG'), ('15', 'CD'), ('yes', 'NNS'), ('suv', 'NN'), ('boom', 'NN')]"
1,watch beforetheflood right travels world tackle climate change htt,7.93124E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
2,fabulous leonardo dicaprio film climate change brilliant watch via,7.93124E+17,66,Positive,fabulous leonardo dicaprio film climate change brilliant watch via,"[('fabulous', 'JJ'), ('leonardo', 'NN'), ('dicaprio', 'NN'), ('film', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('brilliant', 'JJ'), ('watch', 'NN'), ('via', 'IN')]"
3,fanning watched amazing documentary leonardodicaprio climate change think,7.93125E+17,73,Positive,fanning watched amazing documentary leonardodicaprio climate change think,"[('fanning', 'VBG'), ('watched', 'VBD'), ('amazing', 'JJ'), ('documentary', 'NN'), ('leonardodicaprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('think', 'VBP')]"
4,pranita biswasi lutheran odisha gives testimony effects climate change amp natural disasters po,7.93125E+17,95,News,pranita biswasi lutheran odisha gives testimony effects climate change amp natural disasters po,"[('pranita', 'JJ'), ('biswasi', 'NN'), ('lutheran', 'NN'), ('odisha', 'VBP'), ('gives', 'VBZ'), ('testimony', 'NN'), ('effects', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('amp', 'JJ'), ('natural', 'JJ'), ('disasters', 'NNS'), ('po', 'VBP')]"
5,unamshow awache kujinga na iko global warming,7.93125E+17,45,Neutral,unamshow awache kujinga na iko global warming,"[('unamshow', 'JJ'), ('awache', 'NN'), ('kujinga', 'NN'), ('na', 'TO'), ('iko', 'VB'), ('global', 'JJ'), ('warming', 'NN')]"
6,pranita biswasi lutheran odisha gives testimony effects climate change amp natural disasters po,7.93125E+17,95,News,pranita biswasi lutheran odisha gives testimony effects climate change amp natural disasters po,"[('pranita', 'JJ'), ('biswasi', 'NN'), ('lutheran', 'NN'), ('odisha', 'VBP'), ('gives', 'VBZ'), ('testimony', 'NN'), ('effects', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('amp', 'JJ'), ('natural', 'JJ'), ('disasters', 'NNS'), ('po', 'VBP')]"
7,presidential candidate donaldtrump dangerous climate change says monaco prince albert,7.93127E+17,85,News,presidential candidate donaldtrump dangerous climate change says monaco prince albert,"[('presidential', 'JJ'), ('candidate', 'NN'), ('donaldtrump', 'NN'), ('dangerous', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('says', 'VBZ'), ('monaco', 'JJ'), ('prince', 'NN'), ('albert', 'NN')]"
8,leonardo dicaprio climate change documentary free week indigenous tairp,7.93127E+17,71,Neutral,leonardo dicaprio climate change documentary free week indigenous tairp,"[('leonardo', 'NN'), ('dicaprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('free', 'JJ'), ('week', 'NN'), ('indigenous', 'JJ'), ('tairp', 'NN')]"
9,beforetheflood watch beforetheflood right travels world tackle climate change,7.93127E+17,77,Positive,beforetheflood watch beforetheflood right travels world tackle climate change,"[('beforetheflood', 'NN'), ('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN')]"
